Sentiment,tweet_tokens_stemmed
positive,"['undang', 'shanijkt', 'hitamputih', 'pemenang', 'ssk', 'jkt', 'mjkt', 'layak', 'undang', 'prestasinya']"
positive,"['selamat', 'berbuka', 'puasa', 'semoga', 'amal', 'ibadah', 'diterima', 'allah']"
positive,"['trans', 'hitam', 'putih', 'penghargaan', 'norwegia']"
positive,"['selamat', 'hitamputih']"
positive,"['asiknya', 'nonton', 'hitam', 'putih', 'trans']"
positive,"['acara', 'komplit', 'menarik', 'hitam', 'putih']"
positive,"['hitam', 'putih', 'inspiratif', 'banget']"
positive,"['suka', 'banget', 'acara', 'hitam', 'putih']"
positive,['keren']
positive,"['liat', 'hitam', 'putih', 'trans', 'sanggu', 'ganteng']"
positive,"['cinta', 'mengikat', 'silaturahmi', 'hati']"
positive,"['terima', 'kasih', 'membantu', 'menyekolahkan', 'adik']"
positive,"['semoga', 'lancar', 'hitamputihtrans']"
positive,"['trans', 'hitam', 'putih', 'terbaik']"
positive,"['acara', 'hitam', 'putih', 'bagus']"
positive,"['undang', 'rafly', 'acara', 'hitam', 'putih', 'yadia', 'jebolan', 'dangdut', 'academi', 'pinter', 'nyanyi', 'lagu', 'india', 'suaranya', 'keren']"
positive,"['bagus', 'rancangan', 'trans', 'hitamputih', 'dakwah', 'hiburannya', 'terima', 'kasih', 'ustadz', 'wijayanto']"
positive,"['rihanna', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'kangen', 'tayang']"
positive,"['terimakasih', 'menonton', 'hitam', 'putih', 'malam', 'semoga', 'menginspirasi', 'pelajaran', 'sobat']"
positive,"['acara', 'hitam', 'putih', 'trans', 'topiknya', 'bagus', 'kepribadian', 'ganda']"
positive,"['nonton', 'kisah', 'anastasya', 'wella', 'seru', 'kisahnya', 'kepribadian', 'berbeda']"
positive,['rindu']
positive,"['wihh', 'hebat', 'kakek', 'neneknya']"
positive,"['menunggu', 'sekian', 'nongol', 'hitam', 'putih', 'trans']"
positive,"['hitam', 'putih']"
positive,"['spensa', 'poso', 'hitam', 'putih', 'trans', 'asli', 'keren', 'pake', 'kemeja', 'biru', 'putih', 'gingsul']"
positive,"['wahh', 'vocalgrup', 'thanks']"
positive,"['slalu', 'nonton', 'hitam', 'putih', 'trans', 'hbs', 'acara', 'bagus', 'banget', 'dedy']"
positive,"['acara', 'hitam', 'putih', 'trans', 'malam', 'pembahasannya', 'mantab', 'setuju', 'diperbanyak', 'mengulas']"
positive,"['seru', 'nonton', 'hitam', 'putih', 'nonton', 'spot']"
positive,"['trio', 'unyu', 'acara', 'master', 'dedy', 'thanks']"
positive,"['perusahaan', 'jujur', 'pekerja', 'jujur']"
positive,"['keren', 'undang', 'acara', 'hitamputih', 'acara', 'presiden', 'trans']"
positive,"['suka', 'banget', 'episode', 'hitam', 'putih', 'malam', 'trans']"
positive,"['kangen', 'jeketi', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'seru', 'pas', 'jaman', 'gen', 'diundang', 'hitam', 'putih']"
positive,"['terima', 'kasih', 'menyaksikan', 'hitam', 'putih', 'semoga', 'menginspirasi', 'terhibur']"
positive,"['hitam', 'putih', 'undang']"
positive,"['menginspirasi', 'inspirasi']"
positive,"['seru', 'hitam', 'putih', 'trans', 'live']"
positive,"['bersyukurlah', 'hidup', 'indonesia']"
positive,"['setuju', 'banget', 'ucapan', 'deddy', 'corbuzier', 'hitam', 'putih', 'trans', 'guru', 'tanda', 'jasa', 'naikan', 'gaji']"
positive,"['selamat', 'siang', 'selamat', 'beraktivitas', 'menunggu', 'hitam', 'putih', 'chaenel', 'kesayangan', 'trans']"
positive,"['vermansah', 'keren']"
positive,"['nonton', 'trans', 'hitam', 'putih', 'keren', 'abis', 'jesika', 'cantik', 'dedy', 'ganteng']"
positive,"['acara', 'hitam', 'putih', 'oke']"
positive,"['tweeps', 'merapat', 'sebentar', 'hitam', 'putih', 'live']"
positive,"['tweeps', 'terima', 'kasih', 'menyaksikan', 'hitam', 'putih', 'besok', 'live']"
positive,"['emang', 'keren', 'tamunya']"
positive,"['subhanallah', 'anak', 'karunia', 'bandingnya', 'trans', 'hitamputih']"
positive,"['terkesan', 'mendengar', 'salah', 'maju', 'hitam', 'putih', 'semoga', 'sukses', 'slalu']"
negative,"['hitam', 'putih', 'bego', 'haruka', 'diundang', 'bentar', 'liat', 'younglex', 'dihina', 'bego']"
negative,"['miris', 'liat', 'pemerintah', 'juara', 'angkat', 'berat', 'seasia', 'biaya', 'mengikuti', 'kejurnas']"
negative,"['juara', 'angkat', 'berat', 'seasia', 'menerima', 'hadiahnya', 'kejurnas', 'terkendala', 'biaya']"
negative,"['haruka', 'diundang', 'hitam', 'putih', 'ditolak', 'hostnya', 'menghargai']"
negative,"['berasa', 'aneh', 'nonton', 'acara', 'hitam', 'putih', 'penonton', 'anak', 'sekolah', 'sekolah', 'gua']"
negative,"['sedih', 'dengar', 'curhatanmu', 'roxana', 'semoga', 'tuhan', 'tunjukkan', 'jalan', 'titik', 'terang', 'roxana']"
negative,"['miris', 'anak', 'indonesia', 'kesulitan', 'bahasa', 'indonesa', 'nyaman', 'bahasa', 'asing']"
negative,"['sombongnya', 'mentang', 'kaya', 'pake', 'diumumkan', 'host', 'kaya', 'hitam', 'putih', 'trans']"
negative,"['parah', 'banget', 'hitam', 'putih', 'trans', 'ngomong', 'sembarang', 'merusak', 'generasi', 'muda', 'acara', 'kyk', 'gini']"
negative,"['bangkrut', 'perkara', 'uang', 'bangkrut', 'mimpi', 'bangqomar']"
negative,"['menakutkan', 'powernya', 'oma', 'martha']"
negative,"['hasilnya', 'sesuai', 'dikehendaki', 'pendemo', 'demo', 'silakah', 'diartikan', 'pemaksaan', 'kehendak']"
negative,"['mulut', 'farhat', 'abas', 'anjay', 'bener']"
negative,"['episode', 'muncul', 'nonton', 'hitam', 'putih']"
negative,"['yaampun', 'anak', 'nonton']"
negative,"['anak', 'butuh', 'pengakuan', 'ayah']"
negative,"['mario', 'teguh', 'mencampakkan', 'anak']"
negative,"['tuna', 'netra', 'berbagi', 'pegang', 'jabatan', 'korupsi']"
negative,"['garing', 'banget']"
negative,"['nyanyi', 'anaktapi', 'lagu', 'menyakitkan', 'memalukan']"
negative,"['ngatain', 'knp', 'ditindes']"
negative,"['bos', 'kau', 'cowo', 'salah', 'bentak', 'abis', 'cewe', 'diajakin', 'becanda', 'ketawa']"
negative,"['suara', 'veteran', 'koruptor', 'hukum', 'mati']"
negative,"['berita', 'nyebar']"
negative,"['buta', 'dalem', 'ruangan', 'pake', 'kacamata', 'hitam']"
negative,"['dunia', 'terharu', 'kepergian', 'mbak', 'jupe', 'trans']"
negative,"['nasib', 'atlet', 'ri']"
negative,"['knp', 'sahabat', 'lupa', 'sahabatnya', 'bertemu', 'teman', 'barunya']"
negative,"['baby', 'tatan', 'nangis', 'ngeliat', 'daddy']"
negative,"['angkat', 'topi', 'tundukkan', 'kepala', 'mbah', 'simpen']"
negative,"['toleransi', 'umat', 'beragama', 'diterapkan', 'serang', 'banten', 'toleransi', 'mitos']"
negative,"['suara', 'veteran', 'koruptor', 'hukum', 'mati']"
negative,"['berduka', 'anak', 'buk']"
negative,['diharapkan']
negative,"['buruk', 'kau', 'pergi']"
negative,"['sodok', 'ajah', 'bu']"
negative,"['butuh', 'ketegasan', 'masyarakat', 'pemerintah', 'butuh', 'tindakan', 'ngoceh', 'medsos']"
negative,"['hidup', 'dijalanin', 'dipikirin']"
negative,"['pemimpin', 'pribadi', 'dikorbankan']"
negative,"['hidup', 'dijalanin', 'dipikirin', 'mongol', 'stres']"
negative,"['demo', 'nyelesaikan', 'bermusyawara', 'ajha']"
negative,"['bayangkan', 'konvensional', 'online', 'dimana', 'pengusahanya', 'bayar', 'perorangan', 'kalah']"
negative,"['taksi', 'konvensional', 'kepepet', 'taksi', 'nunggu', 'online']"
negative,"['kaya', 'gini', 'negara', 'intinya', 'setuju', 'usaha', 'kaya', 'gini']"
negative,"['gadget', 'mahal', 'nipu', 'argonya', 'argo', 'kuda', 'aman', 'pake', 'konvensional']"
negative,"['hidup', 'pilihan', 'pasrah']"
negative,"['gawat', 'darurat', 'tetangga', 'menembaki', 'sengaja', 'kucing', 'disekitar', 'rumah']"
negative,"['miris', 'liat', 'hewan', 'aniaya']"
negative,"['membicarakan', 'permasalahan', 'memalukan']"
negative,"['dedy', 'sombong', 'keteraluan']"
positive,"['suka', 'banget', 'nonton', 'menambah', 'wawasan', 'belajar', 'membicarakan', 'keren', 'tvonenews']"
positive,"['ngakak', 'mantap', 'pokoknya', 'seru']"
positive,"['rindu', 'ilc', 'indobesia', 'lawyers', 'club', 'tvone']"
positive,"['indonesia', 'lawyers', 'club', 'program', 'talkshow', 'ditunggu', 'pemirsa', 'tvone', 'membahas', 'topik', 'terkini']"
positive,"['kagum', 'buya', 'syafii', 'maarif', 'ilc', 'tvone']"
positive,"['panglima', 'membanggakan', 'ilc', 'tvone']"
positive,"['rating', 'indonesia', 'lawyers', 'club', 'tv', 'one', 'melesat']"
positive,"['sejuk', 'ilc', 'gini', 'obrolannya', 'ilc', 'tvone']"
positive,"['nonton', 'tvone', 'indonesia', 'lawyers', 'club']"
positive,"['belajar', 'berdebat', 'bidang', 'hukum']"
positive,"['selamat', 'tayang', 'indonesia', 'lawyers', 'club', 'tvone']"
positive,"['adem', 'hati', 'gymnastiar']"
positive,"['ikhlas', 'melepaskan', 'mendoakan']"
positive,"['bang', 'cerdas', 'hebat']"
positive,"['ustadz', 'keren', 'banget']"
positive,"['damai', 'bersenandung']"
positive,"['damai', 'bersenandung', 'pemecah', 'belah', 'umat', 'beragama', 'dimusnahkan']"
positive,"['semoga', 'paham', 'sejatinya', 'indonesia']"
positive,"['ilc', 'malam', 'adem']"
positive,"['indahnya', 'ilc', 'malam', 'pemuka', 'agama', 'rangkul', 'setuju', 'meninggalkan', 'ahok', 'merusak', 'keselarasan', 'bangsa']"
positive,"['setuju', 'banget', 'ustad']"
positive,"['top', 'banget', 'utadz', 'zaitun', 'rasmin']"
positive,"['tonton', 'tvone', 'menyajikan', 'berita', 'obyektif']"
positive,"['polmart', 'bijaksana']"
positive,"['rakyat', 'mendukung', 'kpk', 'usut', 'tuntas', 'ektp']"
positive,"['acara', 'televisi', 'suka']"
positive,"['sabar', 'nunggu']"
positive,"['semangat', 'sehat', 'karni', 'penonton', 'setia', 'menunggu', 'ilc', 'tayang']"
positive,"['adem', 'dengerin', 'nasehat', 'gym', 'semoga', 'sehat', 'slalu', 'lindungannya']"
positive,"['ilmu', 'serap', 'semalam', 'menyejukan']"
positive,['bangga']
positive,"['salut', 'komitmen', 'berwibawa', 'jenderal', 'sesungguhnya']"
positive,"['hormat', 'jendral']"
positive,"['gym', 'menyejukan', 'mental', 'jiwa']"
positive,"['terimakasih', 'buya', 'syafii', 'bangga', 'kejernihaannya']"
positive,"['penjelasan', 'kapolri', 'barakallahu', 'mari', 'buka', 'hati']"
positive,"['memiliki', 'kasih', 'memaafkan', 'maaf', 'keren', 'salut']"
positive,"['ary', 'sampe', 'diketawain', 'kalem', 'diujung', 'keringat', 'dingin', 'matanya', 'merem', 'asli', 'lucu']"
positive,"['ahmad', 'dhani', 'ngomong', 'seru']"
positive,"['mendengar', 'pendapat', 'hasim', 'muzadi', 'menentramkan', 'keren']"
positive,"['salut', 'hormat', 'bang', 'jhonson', 'panjaitan', 'lugas', 'akal']"
positive,"['kompak', 'pembelaan', 'bnn', 'polisi']"
positive,"['keren', 'abang', 'pengacara', 'botak']"
positive,"['jokowi', 'soleh', 'hendropriyono']"
positive,"['top', 'mencerahkan', 'prof']"
positive,"['media', 'dukung', 'ahok', 'pendapatan', 'iklan', 'korporasi']"
positive,"['tvonenews', 'keren', 'melek']"
positive,"['salut', 'darmawan', 'salihin']"
positive,"['semga', 'ilc', 'informasi']"
positive,"['acara', 'debat', 'yag', 'hebat', 'keren']"
negative,"['tunggu', 'tvshow', 'indonesia', 'lawyers', 'club', 'tvshow', 'cocok', 'karakter', 'siaran', 'tvone']"
negative,"['indonesia', 'lawyers', 'club', 'tvone', 'malam', 'batal', 'tayang', 'memalukan', 'rezim', 'sakit', 'takut']"
negative,"['potensi', 'teroris', 'pernyataan', 'peluang', 'teroris']"
negative,"['indonesia', 'sikap', 'presiden', 'demo', 'sibuk', 'pencitraan', 'upload', 'video']"
negative,"['acara', 'membidik', 'habieb', 'rizieq', 'habieb', 'pulang', 'indonesia', 'mutu']"
negative,"['muqoddas', 'minoritas', 'ekonomi', 'kuat', 'menguasai', 'mayoritas', 'ekonomi', 'lemah', 'dibahas', 'sumber', 'radikal', 'miris']"
negative,"['jaga', 'jarak', 'islamis', 'radikal', 'bangsa', 'hancur']"
negative,"['omongannya', 'menarik', 'berisi']"
negative,"['anis', 'difitnah']"
negative,"['metromini', 'dijadikan', 'metronome', 'dibentuk', 'kemacetan', 'padat', 'putra', 'petir']"
negative,"['pembela', 'ahok', 'cek', 'berpikirnya', 'kalah', 'anak', 'sd', 'tvonenews']"
negative,"['provokatif', 'pembawa', 'acaranya', 'beda', 'kelas', 'tvonenews']"
negative,"['pribadi', 'suka', 'acara', 'najwa', 'ilc', 'menyelesaikan', 'kayaknya']"
negative,"['kebohongan', 'diulangulang']"
negative,"['diracun', 'pujian']"
negative,"['males', 'nonton', 'topik', 'kekinian']"
negative,"['kebohongan', 'lari', 'secepat', 'kilat', 'kebenaran', 'mengalahkannya']"
negative,"['namanya', 'tampang', 'nabi', 'hati', 'iblis', 'sesuai', 'pernyataan', 'pengacara', 'nazarudin']"
negative,"['pejabat', 'sibuk', 'membicarakan', 'hak', 'angket', 'tvne']"
negative,"['paham', 'gagal', 'paham']"
negative,"['ngomong', 'segitu', 'dapet', 'maksudnya']"
negative,"['sumpah', 'liat', 'mukanya', 'pengen', 'lempar', 'pake', 'sepatu', 'nyebelin']"
negative,"['fahri', 'dower', 'sakit', 'hati', 'kpk']"
negative,"['dpr', 'terusikkpk', 'dibidik']"
negative,"['ajarin', 'dewan', 'hak', 'angket']"
negative,"['rakyat', 'kadang', 'seneng', 'superbodi', 'kyknya', 'tebang', 'pilih']"
negative,"['merajut', 'jakarta', 'tercabik', 'cabik', 'kepemimpinan']"
negative,"['maksudnya', 'cinta', 'uang', 'akar', 'kejahatan']"
negative,"['geram', 'ngeliat', 'tingkah', 'akhlaq', 'oknum', 'mengatasnama', 'islam']"
negative,"['pembohongan', 'publik', 'rambut', 'putih', 'beruban', 'cat', 'hitam']"
negative,"['beda', 'kelas', 'sm', 'knp', 'bebas', 'pembatalan']"
negative,"['nonton', 'ilc', 'tokoh', 'betawi', 'betawi', 'gampang', 'intinya', 'bacot', 'jaga', 'intinya']"
negative,"['merajut', 'jakarta', 'gampang', 'bacot', 'jaga']"
negative,"['buya', 'safii', 'maarif', 'tua', 'kalah', 'bijak', 'nasihat', 'eep', 'muda']"
negative,"['merampas', 'hak', 'dasar', 'manusia', 'batal', 'hukum']"
negative,"['polisi', 'kasihan', 'bodoh', 'berhadapan', 'argumentasi', 'hukum', 'pakar']"
negative,"['abi', 'manyu', 'kasian', 'beliau', 'paham', 'whatsapp', 'miris']"
negative,"['bintang', 'muncul', 'partai', 'tokoh', 'manapun', 'sanggup', 'menggerakkan']"
negative,"['menghimbau', 'terprovokasi', 'memantik', 'kebencian', 'meneduhkan', 'mendung']"
negative,"['tindakan', 'anarkis', 'aksi', 'pendemo']"
negative,"['sepenting', 'apapun', 'mati', 'seram']"
negative,"['ketua', 'preman', 'pasar', 'ikutan', 'ngomong', 'memalukan']"
negative,"['jaga', 'moral', 'konten', 'porno', 'negara', 'darurat', 'radikalisme', 'tunggu', 'perang', 'kyk', 'suriah', 'kpi', 'sadar']"
negative,"['butuh', 'fakta', 'bukti', 'ngomong', 'kebohongan']"
negative,"['kasian', 'berpeci', 'pake', 'batik', 'merah', 'air', 'dikeluarin', 'ahoax']"
negative,"['syaiton', 'musuhmu', 'dijadikan', 'teman', 'manusia', 'kesetanan', 'setan', 'kemanusiaan']"
negative,"['mendengar', 'cerita', 'bu', 'marwah', 'bodoh', 'memalukan']"
negative,"['bang', 'gaya', 'pemikiran', 'liberal', 'miris']"
negative,"['sesat', 'pikir', 'pengamat']"
negative,"['berbicara', 'ribet']"
positive,"['lucu', 'kick', 'andy', 'senyum']"
